value,location,sample date,measure
0.005,Somchair,13-Aug-06,Heptachlor
0.005,Somchair,13-Aug-06,"p,p-DDD"
0.005,Somchair,13-Aug-06,"p,p-DDE"
0.005,Somchair,13-Aug-06,Dieldrin
0.005,Somchair,13-Aug-06,Endrin
0.005,Busarakhan,13-Aug-06,Nitrites
0.005,Busarakhan,13-Aug-06,Orthophosphate-phosphorus
0.005,Busarakhan,13-Aug-06,Heptachloroepoxide
0.005,Busarakhan,13-Aug-06,Heptachlor
0.005,Busarakhan,13-Aug-06,alpha-Hexachlorocyclohexane
0.005,Busarakhan,13-Aug-06,gamma-Hexachlorocyclohexane
0.005,Busarakhan,13-Aug-06,Dieldrin
0.007,Somchair,13-Aug-06,alpha-Hexachlorocyclohexane
0.007,Busarakhan,13-Aug-06,Simazine
0.008,Busarakhan,13-Aug-06,"p,p-DDD"
0.01,Somchair,13-Aug-06,Petroleum hydrocarbons
0.01,Somchair,13-Aug-06,gamma-Hexachlorocyclohexane
0.01,Busarakhan,13-Aug-06,"p,p-DDE"
0.011,Somchair,13-Aug-06,"p,p-DDT"
0.012,Somchair,13-Aug-06,beta-Hexaxchlorocyclohexane
0.014,Somchair,13-Aug-06,Simazine
0.018,Somchair,13-Aug-06,Aldrin
0.021,Somchair,13-Aug-06,Metolachlor
0.022,Busarakhan,13-Aug-06,beta-Hexaxchlorocyclohexane
0.025,Somchair,13-Aug-06,Mercury
0.027,Somchair,13-Aug-06,Nitrites
0.027,Somchair,13-Aug-06,Endosulfan (alpha)
0.034,Busarakhan,13-Aug-06,"p,p-DDT"
0.039,Busarakhan,13-Aug-06,Aldrin
0.052,Somchair,13-Aug-06,Endosulfan (beta)
0.0542,Somchair,13-Aug-06,Anionic active surfactants
0.07,Busarakhan,13-Aug-06,Manganese
0.076,Somchair,13-Aug-06,Atrazine
0.0763,Busarakhan,13-Aug-06,Anionic active surfactants
0.078,Somchair,13-Aug-06,Alachlor
0.081,Busarakhan,13-Aug-06,Endosulfan (alpha)
0.095,Busarakhan,13-Aug-06,Metolachlor
0.101,Busarakhan,13-Aug-06,Total phosphorus
0.109,Busarakhan,13-Aug-06,Atrazine
0.109,Busarakhan,13-Aug-06,Endrin
0.136,Busarakhan,13-Aug-06,Alachlor
0.151,Busarakhan,13-Aug-06,Endosulfan (beta)
0.152,Somchair,13-Aug-06,Orthophosphate-phosphorus
0.164,Somchair,13-Aug-06,Chromium
0.192,Busarakhan,13-Aug-06,Mercury
0.307,Somchair,13-Aug-06,Copper
0.325,Somchair,13-Aug-06,Manganese
0.412,Somchair,13-Aug-06,Cadmium
0.431,Busarakhan,13-Aug-06,Copper
0.535,Busarakhan,13-Aug-06,Nitrates
0.685,Somchair,13-Aug-06,Total phosphorus
0.931,Busarakhan,13-Aug-06,Cadmium
1.08,Somchair,13-Aug-06,Nitrates
1.144,Busarakhan,13-Aug-06,Iron
1.37,Busarakhan,13-Aug-06,Ammonium
1.46,Somchair,13-Aug-06,Ammonium
1.468,Busarakhan,13-Aug-06,Chromium
1.817,Somchair,13-Aug-06,Iron
3.5,Busarakhan,13-Aug-06,Dissolved oxygen
3.6,Somchair,13-Aug-06,Dissolved oxygen
4.2,Busarakhan,13-Aug-06,Biochemical Oxygen
4.55,Somchair,13-Aug-06,Silica (SiO2)
4.8,Somchair,13-Aug-06,Biochemical Oxygen
5.2,Busarakhan,13-Aug-06,Chemical Oxygen Demand (Mn)
6.868,Busarakhan,13-Aug-06,Nickel
7.34,Busarakhan,13-Aug-06,Silica (SiO2)
7.5,Somchair,13-Aug-06,Chemical Oxygen Demand (Mn)
9.41,Busarakhan,13-Aug-06,Petroleum hydrocarbons
10.94,Busarakhan,13-Aug-06,Lead
11.03,Somchair,13-Aug-06,Nickel
12,Busarakhan,13-Aug-06,Zinc
17,Somchair,13-Aug-06,Zinc
17.5,Somchair,13-Aug-06,Magnesium
21,Somchair,13-Aug-06,Lead
22.8,Busarakhan,13-Aug-06,Magnesium
24,Somchair,13-Aug-06,Water temperature
25,Busarakhan,13-Aug-06,Water temperature
44.1,Somchair,13-Aug-06,Oxygen saturation
44.9,Busarakhan,13-Aug-06,Oxygen saturation
49.5,Somchair,13-Aug-06,Sulphates
55.2,Busarakhan,13-Aug-06,Chlorides
58.4,Busarakhan,13-Aug-06,Calcium
62.6,Busarakhan,13-Aug-06,Sulphates
70.9,Somchair,13-Aug-06,Calcium
76.5,Somchair,13-Aug-06,Chlorides
134,Busarakhan,13-Aug-06,Total hardness
140,Somchair,13-Aug-06,Total hardness
207.4,Somchair,13-Aug-06,Bicarbonates
207.4,Busarakhan,13-Aug-06,Bicarbonates
355,Busarakhan,13-Aug-06,Total dissolved salts
0.005,Chai,18-Aug-06,Orthophosphate-phosphorus
0.005,Chai,18-Aug-06,Heptachloroepoxide
0.005,Chai,18-Aug-06,Heptachlor
0.005,Chai,18-Aug-06,Dieldrin
0.005,Chai,18-Aug-06,Orthophosphate-phosphorus
0.005,Chai,18-Aug-06,Heptachloroepoxide
0.005,Chai,18-Aug-06,Heptachlor
0.005,Chai,18-Aug-06,Dieldrin
0.005,Chai,18-Aug-06,Orthophosphate-phosphorus
0.005,Chai,18-Aug-06,Heptachloroepoxide
0.005,Chai,18-Aug-06,Heptachlor
0.005,Chai,18-Aug-06,"p,p-DDD"
0.005,Chai,18-Aug-06,alpha-Hexachlorocyclohexane
0.005,Chai,18-Aug-06,gamma-Hexachlorocyclohexane
0.005,Chai,18-Aug-06,Dieldrin
0.005,Chai,18-Aug-06,Endrin
0.006,Chai,18-Aug-06,"p,p-DDE"
0.007,Chai,18-Aug-06,beta-Hexaxchlorocyclohexane
0.01,Chai,18-Aug-06,"p,p-DDD"
0.011,Chai,18-Aug-06,Endosulfan (alpha)
0.014,Chai,18-Aug-06,alpha-Hexachlorocyclohexane
0.014,Chai,18-Aug-06,Simazine
0.015,Chai,18-Aug-06,"p,p-DDD"
0.015,Chai,18-Aug-06,"p,p-DDE"
0.015,Chai,18-Aug-06,"p,p-DDT"
0.015,Chai,18-Aug-06,Aldrin
0.017,Chai,18-Aug-06,Endosulfan (alpha)
0.018,Chai,18-Aug-06,"p,p-DDE"
0.019,Chai,18-Aug-06,gamma-Hexachlorocyclohexane
0.02,Chai,18-Aug-06,Nitrites
0.02,Chai,18-Aug-06,Metolachlor
0.021,Chai,18-Aug-06,Endosulfan (alpha)
0.021,Chai,18-Aug-06,alpha-Hexachlorocyclohexane
0.022,Chai,18-Aug-06,Nitrites
0.022,Chai,18-Aug-06,Manganese
0.022,Chai,18-Aug-06,Metolachlor
0.022,Chai,18-Aug-06,Endosulfan (beta)
0.025,Chai,18-Aug-06,Mercury
0.025,Chai,18-Aug-06,Anionic active surfactants
0.025,Chai,18-Aug-06,Anionic active surfactants
0.025,Chai,18-Aug-06,Mercury
0.025,Chai,18-Aug-06,Anionic active surfactants
0.028,Chai,18-Aug-06,Nitrites
0.029,Chai,18-Aug-06,Endrin
0.03,Chai,18-Aug-06,Manganese
0.032,Chai,18-Aug-06,Manganese
0.033,Chai,18-Aug-06,Metolachlor
0.04,Chai,18-Aug-06,gamma-Hexachlorocyclohexane
0.041,Chai,18-Aug-06,Endosulfan (beta)
0.043,Chai,18-Aug-06,beta-Hexaxchlorocyclohexane
0.047,Chai,18-Aug-06,Manganese
0.056,Chai,18-Aug-06,Total phosphorus
0.06,Chai,18-Aug-06,"p,p-DDT"
0.068,Chai,18-Aug-06,Endrin
0.069,Chai,18-Aug-06,Endosulfan (beta)
0.07,Chai,18-Aug-06,Aldrin
0.071,Chai,18-Aug-06,beta-Hexaxchlorocyclohexane
0.074,Chai,18-Aug-06,"p,p-DDT"
0.074,Chai,18-Aug-06,Cadmium
0.074,Chai,18-Aug-06,Alachlor
0.075,Chai,18-Aug-06,Simazine
0.076,Chai,18-Aug-06,Atrazine
0.082,Chai,18-Aug-06,Mercury
0.087,Chai,18-Aug-06,Atrazine
0.088,Chai,18-Aug-06,Total phosphorus
0.091,Chai,18-Aug-06,Alachlor
0.111,Chai,18-Aug-06,Alachlor
0.115,Chai,18-Aug-06,Aldrin
0.118,Chai,18-Aug-06,Atrazine
0.125,Chai,18-Aug-06,Total phosphorus
0.202,Chai,18-Aug-06,Simazine
0.374,Chai,18-Aug-06,Iron
0.463,Chai,18-Aug-06,Iron
0.519,Chai,18-Aug-06,Ammonium
0.554,Chai,18-Aug-06,Ammonium
0.555,Chai,18-Aug-06,Iron
0.608,Chai,18-Aug-06,Ammonium
0.729,Chai,18-Aug-06,Nitrates
0.874,Chai,18-Aug-06,Nitrates
0.876,Chai,18-Aug-06,Nitrates
0.9,Chai,18-Aug-06,Biochemical Oxygen
1.1,Chai,18-Aug-06,Biochemical Oxygen
1.1,Chai,18-Aug-06,Biochemical Oxygen
1.354,Chai,18-Aug-06,Nickel
1.465,Chai,18-Aug-06,Chromium
1.76,Chai,18-Aug-06,Chromium
2.02,Chai,18-Aug-06,Cadmium
2.16,Chai,18-Aug-06,Cadmium
2.465,Chai,18-Aug-06,Chromium
3.301,Chai,18-Aug-06,Nickel
3.5,Chai,18-Aug-06,Chemical Oxygen Demand (Mn)
3.9,Chai,18-Aug-06,Chemical Oxygen Demand (Mn)
4.1,Chai,18-Aug-06,Chemical Oxygen Demand (Mn)
4.35,Chai,18-Aug-06,Silica (SiO2)
4.64,Chai,18-Aug-06,Silica (SiO2)
4.82,Chai,18-Aug-06,Silica (SiO2)
5.3,Chai,18-Aug-06,Nickel
6.438,Chai,18-Aug-06,Copper
6.6,Chai,18-Aug-06,Copper
9.2,Chai,18-Aug-06,Dissolved oxygen
9.2,Chai,18-Aug-06,Dissolved oxygen
9.3,Chai,18-Aug-06,Dissolved oxygen
12.12,Chai,18-Aug-06,Lead
12.18,Chai,18-Aug-06,Lead
15.69,Chai,18-Aug-06,Copper
16,Chai,18-Aug-06,Zinc
18,Chai,18-Aug-06,Zinc
21,Chai,18-Aug-06,Zinc
22.52,Chai,18-Aug-06,Lead
23,Chai,18-Aug-06,Chemical Oxygen Demand (Cr)
23,Chai,18-Aug-06,Chemical Oxygen Demand (Cr)
24,Chai,18-Aug-06,Water temperature
24,Chai,18-Aug-06,Water temperature
24,Chai,18-Aug-06,Water temperature
25.2,Chai,18-Aug-06,Magnesium
26,Chai,18-Aug-06,Chemical Oxygen Demand (Cr)
27.7,Chai,18-Aug-06,Magnesium
27.9,Chai,18-Aug-06,Magnesium
29.4,Chai,18-Aug-06,Sulphates
29.6,Chai,18-Aug-06,Sulphates
31.8,Chai,18-Aug-06,Chlorides
35.1,Chai,18-Aug-06,Sulphates
41.7,Chai,18-Aug-06,Calcium
41.7,Chai,18-Aug-06,Chlorides
41.7,Chai,18-Aug-06,Chlorides
45.9,Chai,18-Aug-06,Calcium
45.9,Chai,18-Aug-06,Calcium
110.4,Chai,18-Aug-06,Oxygen saturation
111,Chai,18-Aug-06,Oxygen saturation
111.7,Chai,18-Aug-06,Oxygen saturation
122,Chai,18-Aug-06,Total hardness
122,Chai,18-Aug-06,Total hardness
128,Chai,18-Aug-06,Total hardness
207.4,Chai,18-Aug-06,Bicarbonates
207.4,Chai,18-Aug-06,Bicarbonates
207.4,Chai,18-Aug-06,Bicarbonates
280,Chai,18-Aug-06,Total dissolved salts
282,Chai,18-Aug-06,Total dissolved salts
285,Chai,18-Aug-06,Total dissolved salts
0,Boonsri,24-Aug-06,Fecal streptococci 
0,Boonsri,24-Aug-06,Fecal streptococci 
0,Boonsri,24-Aug-06,Fecal streptococci 
0.0045,Boonsri,24-Aug-06,Fecal coliforms
0.005,Boonsri,24-Aug-06,Heptachloroepoxide
0.005,Boonsri,24-Aug-06,Heptachloroepoxide
0.005,Boonsri,24-Aug-06,Endosulfan (alpha)
0.005,Boonsri,24-Aug-06,alpha-Hexachlorocyclohexane
0.005,Boonsri,24-Aug-06,Endrin
0.005,Boonsri,24-Aug-06,Heptachloroepoxide
0.005,Boonsri,24-Aug-06,Heptachlor
0.005,Boonsri,24-Aug-06,alpha-Hexachlorocyclohexane
0.005,Boonsri,24-Aug-06,Endrin
0.0078,Boonsri,24-Aug-06,Fecal coliforms
0.01,Boonsri,24-Aug-06,gamma-Hexachlorocyclohexane
0.011,Boonsri,24-Aug-06,"p,p-DDE"
0.013,Boonsri,24-Aug-06,Heptachlor
0.014,Boonsri,24-Aug-06,Fecal coliforms
0.017,Boonsri,24-Aug-06,"p,p-DDE"
0.019,Boonsri,24-Aug-06,"p,p-DDT"
0.02,Boonsri,24-Aug-06,Manganese
0.02,Boonsri,24-Aug-06,Endosulfan (alpha)
0.024,Boonsri,24-Aug-06,alpha-Hexachlorocyclohexane
0.025,Boonsri,24-Aug-06,Mercury
0.026,Boonsri,24-Aug-06,"p,p-DDT"
0.028,Boonsri,24-Aug-06,Manganese
0.029,Boonsri,24-Aug-06,beta-Hexaxchlorocyclohexane
0.03,Boonsri,24-Aug-06,Mercury
0.033,Boonsri,24-Aug-06,"p,p-DDD"
0.033,Boonsri,24-Aug-06,"p,p-DDE"
0.033,Boonsri,24-Aug-06,Nitrites
0.034,Boonsri,24-Aug-06,gamma-Hexachlorocyclohexane
0.036,Boonsri,24-Aug-06,Nitrites
0.036,Boonsri,24-Aug-06,Anionic active surfactants
0.038,Boonsri,24-Aug-06,Anionic active surfactants
0.039,Boonsri,24-Aug-06,Nitrites
0.042,Boonsri,24-Aug-06,Anionic active surfactants
0.043,Boonsri,24-Aug-06,Dieldrin
0.044,Boonsri,24-Aug-06,Dieldrin
0.05,Boonsri,24-Aug-06,Cadmium
0.05,Boonsri,24-Aug-06,Cadmium
0.05,Boonsri,24-Aug-06,gamma-Hexachlorocyclohexane
0.052,Boonsri,24-Aug-06,Orthophosphate-phosphorus
0.052,Boonsri,24-Aug-06,Metolachlor
0.054,Boonsri,24-Aug-06,Total phosphorus
0.058,Boonsri,24-Aug-06,Manganese
0.064,Boonsri,24-Aug-06,"p,p-DDD"
0.07,Boonsri,24-Aug-06,Mercury
0.076,Boonsri,24-Aug-06,Heptachlor
0.076,Boonsri,24-Aug-06,Aldrin
0.077,Boonsri,24-Aug-06,beta-Hexaxchlorocyclohexane
0.085,Boonsri,24-Aug-06,"p,p-DDT"
0.1,Boonsri,24-Aug-06,Orthophosphate-phosphorus
0.11,Boonsri,24-Aug-06,Total coliforms
0.11,Boonsri,24-Aug-06,Orthophosphate-phosphorus
0.112,Boonsri,24-Aug-06,Aldrin
0.116,Boonsri,24-Aug-06,Endosulfan (beta)
0.118,Boonsri,24-Aug-06,"p,p-DDD"
0.12,Boonsri,24-Aug-06,Total phosphorus
0.122,Boonsri,24-Aug-06,Manganese
0.129,Boonsri,24-Aug-06,beta-Hexaxchlorocyclohexane
0.13,Boonsri,24-Aug-06,Total phosphorus
0.145,Boonsri,24-Aug-06,Nitrates
0.146,Boonsri,24-Aug-06,Alachlor
0.155,Boonsri,24-Aug-06,Endrin
0.165,Boonsri,24-Aug-06,Endosulfan (alpha)
0.176,Boonsri,24-Aug-06,Aldrin
0.184,Boonsri,24-Aug-06,Iron
0.186,Boonsri,24-Aug-06,Dieldrin
0.194,Boonsri,24-Aug-06,Atrazine
0.208,Boonsri,24-Aug-06,Metolachlor
0.256,Boonsri,24-Aug-06,Ammonium
0.271,Boonsri,24-Aug-06,Nitrates
0.271,Boonsri,24-Aug-06,Nitrates
0.272,Boonsri,24-Aug-06,Ammonium
0.28,Boonsri,24-Aug-06,Total coliforms
0.28,Boonsri,24-Aug-06,Total coliforms
0.297,Boonsri,24-Aug-06,Simazine
0.298,Boonsri,24-Aug-06,Endosulfan (beta)
0.3,Boonsri,24-Aug-06,Simazine
0.336,Boonsri,24-Aug-06,Endosulfan (beta)
0.341,Boonsri,24-Aug-06,Ammonium
0.384,Boonsri,24-Aug-06,Iron
0.405,Boonsri,24-Aug-06,Atrazine
0.408,Boonsri,24-Aug-06,Cadmium
0.45,Boonsri,24-Aug-06,Iron
0.51,Boonsri,24-Aug-06,Alachlor
0.542,Boonsri,24-Aug-06,Atrazine
0.671,Boonsri,24-Aug-06,Metolachlor
0.742,Boonsri,24-Aug-06,Simazine
0.767,Boonsri,24-Aug-06,Alachlor
1.517,Boonsri,24-Aug-06,Chromium
1.519,Boonsri,24-Aug-06,Chromium
1.531,Boonsri,24-Aug-06,Chromium
1.662,Boonsri,24-Aug-06,Nickel
1.72,Boonsri,24-Aug-06,Nickel
1.8,Boonsri,24-Aug-06,Biochemical Oxygen
1.9,Boonsri,24-Aug-06,Nickel
2,Boonsri,24-Aug-06,Potassium
2,Boonsri,24-Aug-06,Potassium
2,Boonsri,24-Aug-06,Biochemical Oxygen
2,Boonsri,24-Aug-06,Potassium
2.35,Boonsri,24-Aug-06,Petroleum hydrocarbons
2.4,Boonsri,24-Aug-06,Biochemical Oxygen
2.56,Boonsri,24-Aug-06,Copper
2.94,Boonsri,24-Aug-06,Petroleum hydrocarbons
3.104,Boonsri,24-Aug-06,Lead
3.425,Boonsri,24-Aug-06,Copper
4.163,Boonsri,24-Aug-06,Copper
4.23,Boonsri,24-Aug-06,Silica (SiO2)
4.23,Boonsri,24-Aug-06,Silica (SiO2)
4.23,Boonsri,24-Aug-06,Silica (SiO2)
4.419,Boonsri,24-Aug-06,Lead
4.6,Boonsri,24-Aug-06,Chemical Oxygen Demand (Mn)
4.6,Boonsri,24-Aug-06,Dissolved oxygen
4.6,Boonsri,24-Aug-06,Dissolved oxygen
4.9,Boonsri,24-Aug-06,Dissolved oxygen
4.9,Boonsri,24-Aug-06,Chemical Oxygen Demand (Mn)
5.842,Boonsri,24-Aug-06,Lead
6.2,Boonsri,24-Aug-06,Chemical Oxygen Demand (Mn)
8.1,Boonsri,24-Aug-06,Chemical Oxygen Demand (Cr)
8.1,Boonsri,24-Aug-06,Chemical Oxygen Demand (Cr)
9.7,Boonsri,24-Aug-06,Magnesium
10,Boonsri,24-Aug-06,Zinc
10,Boonsri,24-Aug-06,Zinc
10,Boonsri,24-Aug-06,Zinc
10.1,Boonsri,24-Aug-06,Chemical Oxygen Demand (Cr)
10.6,Boonsri,24-Aug-06,Magnesium
12.6,Boonsri,24-Aug-06,Magnesium
14,Boonsri,24-Aug-06,Sodium
14,Boonsri,24-Aug-06,Sodium
14,Boonsri,24-Aug-06,Sodium
14.2,Boonsri,24-Aug-06,Sulphates
18.8,Boonsri,24-Aug-06,Sulphates
19.2,Boonsri,24-Aug-06,Chlorides
19.2,Boonsri,24-Aug-06,Chlorides
20.1,Boonsri,24-Aug-06,Chlorides
24.5,Boonsri,24-Aug-06,Water temperature
25,Boonsri,24-Aug-06,Water temperature
25,Boonsri,24-Aug-06,Water temperature
40.1,Boonsri,24-Aug-06,Sulphates
43.2,Boonsri,24-Aug-06,Calcium
48,Boonsri,24-Aug-06,Calcium
49.6,Boonsri,24-Aug-06,Calcium
56.2,Boonsri,24-Aug-06,Oxygen saturation
56.2,Boonsri,24-Aug-06,Oxygen saturation
59.3,Boonsri,24-Aug-06,Oxygen saturation
87.3,Boonsri,24-Aug-06,Total hardness
89.6,Boonsri,24-Aug-06,Total hardness
91.8,Boonsri,24-Aug-06,Total hardness
170.8,Boonsri,24-Aug-06,Bicarbonates
170.8,Boonsri,24-Aug-06,Bicarbonates
189.1,Boonsri,24-Aug-06,Bicarbonates
194,Boonsri,24-Aug-06,Total dissolved salts
203,Boonsri,24-Aug-06,Total dissolved salts
224,Boonsri,24-Aug-06,Total dissolved salts
0.005,Kohsoom,26-Aug-06,Heptachlor
0.005,Kohsoom,26-Aug-06,alpha-Hexachlorocyclohexane
0.005,Kohsoom,26-Aug-06,gamma-Hexachlorocyclohexane
0.005,Kohsoom,26-Aug-06,Dieldrin
0.007,Kohsoom,26-Aug-06,"p,p-DDD"
0.007,Kohsoom,26-Aug-06,"p,p-DDE"
0.013,Kohsoom,26-Aug-06,"p,p-DDT"
0.015,Kohsoom,26-Aug-06,beta-Hexaxchlorocyclohexane
0.018,Kohsoom,26-Aug-06,Endosulfan (alpha)
0.02,Kohsoom,26-Aug-06,Aldrin
0.025,Kohsoom,26-Aug-06,Metolachlor
0.026,Kohsoom,26-Aug-06,Endosulfan (beta)
0.04,Kohsoom,26-Aug-06,Nitrites
0.042,Kohsoom,26-Aug-06,Heptachloroepoxide
0.063,Kohsoom,26-Aug-06,Anionic active surfactants
0.085,Kohsoom,26-Aug-06,Endrin
0.086,Kohsoom,26-Aug-06,Simazine
0.093,Kohsoom,26-Aug-06,Alachlor
0.1,Kohsoom,26-Aug-06,Atrazine
0.15,Kohsoom,26-Aug-06,Orthophosphate-phosphorus
0.163,Kohsoom,26-Aug-06,Manganese
0.29,Kohsoom,26-Aug-06,Total phosphorus
0.33,Kohsoom,26-Aug-06,Fecal streptococci 
0.367,Kohsoom,26-Aug-06,Cadmium
0.54,Kohsoom,26-Aug-06,Fecal coliforms
0.558,Kohsoom,26-Aug-06,Iron
1.23,Kohsoom,26-Aug-06,Ammonium
1.98,Kohsoom,26-Aug-06,Nitrates
3.3,Kohsoom,26-Aug-06,Potassium
4.466,Kohsoom,26-Aug-06,Chromium
5.024,Kohsoom,26-Aug-06,Nickel
5.55,Kohsoom,26-Aug-06,Silica (SiO2)
6.4,Kohsoom,26-Aug-06,Biochemical Oxygen
7.22,Kohsoom,26-Aug-06,Dissolved oxygen
7.754,Kohsoom,26-Aug-06,Copper
8.8,Kohsoom,26-Aug-06,Chemical Oxygen Demand (Mn)
9.2,Kohsoom,26-Aug-06,Total coliforms
12.5,Kohsoom,26-Aug-06,Total hardness
15.76,Kohsoom,26-Aug-06,Lead
17.2,Kohsoom,26-Aug-06,Chemical Oxygen Demand (Cr)
23.8,Kohsoom,26-Aug-06,Sodium
25.5,Kohsoom,26-Aug-06,Water temperature
26.8,Kohsoom,26-Aug-06,Magnesium
39,Kohsoom,26-Aug-06,Chlorides
64,Kohsoom,26-Aug-06,Zinc
73.6,Kohsoom,26-Aug-06,Calcium
98,Kohsoom,26-Aug-06,Oxygen saturation
113.7,Kohsoom,26-Aug-06,Sulphates
219.6,Kohsoom,26-Aug-06,Bicarbonates
358,Kohsoom,26-Aug-06,Total dissolved salts
0.005,Chai,27-Aug-06,Heptachlor
0.005,Chai,27-Aug-06,Endosulfan (alpha)
0.005,Chai,27-Aug-06,Endosulfan (beta)
0.005,Chai,27-Aug-06,"p,p-DDE"
0.005,Chai,27-Aug-06,alpha-Hexachlorocyclohexane
0.005,Chai,27-Aug-06,beta-Hexaxchlorocyclohexane
0.005,Chai,27-Aug-06,gamma-Hexachlorocyclohexane
0.005,Chai,27-Aug-06,Dieldrin
0.005,Chai,27-Aug-06,Heptachloroepoxide
0.005,Chai,27-Aug-06,Heptachlor
0.005,Chai,27-Aug-06,Dieldrin
0.005,Chai,27-Aug-06,Endrin
0.005,Chai,27-Aug-06,Heptachloroepoxide
0.005,Chai,27-Aug-06,Heptachlor
0.005,Chai,27-Aug-06,Dieldrin
0.005,Chai,27-Aug-06,Endrin
0.006,Chai,27-Aug-06,Orthophosphate-phosphorus
0.006,Chai,27-Aug-06,Orthophosphate-phosphorus
0.008,Chai,27-Aug-06,Orthophosphate-phosphorus
0.01,Chai,27-Aug-06,"p,p-DDT"
0.01,Chai,27-Aug-06,"p,p-DDD"
0.011,Chai,27-Aug-06,Metolachlor
0.014,Chai,27-Aug-06,Aldrin
0.015,Chai,27-Aug-06,"p,p-DDE"
0.015,Chai,27-Aug-06,Metolachlor
0.017,Chai,27-Aug-06,alpha-Hexachlorocyclohexane
0.017,Chai,27-Aug-06,beta-Hexaxchlorocyclohexane
0.017,Chai,27-Aug-06,"p,p-DDE"
0.018,Chai,27-Aug-06,beta-Hexaxchlorocyclohexane
0.02,Chai,27-Aug-06,Manganese
0.02,Chai,27-Aug-06,Alachlor
0.02,Chai,27-Aug-06,gamma-Hexachlorocyclohexane
0.02,Chai,27-Aug-06,Manganese
0.021,Chai,27-Aug-06,Manganese
0.025,Chai,27-Aug-06,Mercury
0.025,Chai,27-Aug-06,Mercury
0.025,Chai,27-Aug-06,Mercury
0.026,Chai,27-Aug-06,gamma-Hexachlorocyclohexane
0.027,Chai,27-Aug-06,alpha-Hexachlorocyclohexane
0.029,Chai,27-Aug-06,Metolachlor
0.029,Chai,27-Aug-06,Endosulfan (beta)
0.03,Chai,27-Aug-06,Nitrites
0.031,Chai,27-Aug-06,"p,p-DDD"
0.032,Chai,27-Aug-06,Total phosphorus
0.033,Chai,27-Aug-06,Nitrites
0.033,Chai,27-Aug-06,Manganese
0.033,Chai,27-Aug-06,Alachlor
0.034,Chai,27-Aug-06,Aldrin
0.035,Chai,27-Aug-06,"p,p-DDD"
0.039,Chai,27-Aug-06,"p,p-DDT"
0.042,Chai,27-Aug-06,Aldrin
0.045,Chai,27-Aug-06,Endosulfan (beta)
0.047,Chai,27-Aug-06,Heptachloroepoxide
0.047,Chai,27-Aug-06,Endosulfan (alpha)
0.05,Chai,27-Aug-06,Cadmium
0.052,Chai,27-Aug-06,Nitrites
0.056,Chai,27-Aug-06,"p,p-DDT"
0.058,Chai,27-Aug-06,Endrin
0.059,Chai,27-Aug-06,Endosulfan (alpha)
0.064,Chai,27-Aug-06,Total phosphorus
0.074,Chai,27-Aug-06,Total phosphorus
0.11,Chai,27-Aug-06,Atrazine
0.111,Chai,27-Aug-06,Atrazine
0.15,Chai,27-Aug-06,Alachlor
0.153,Chai,27-Aug-06,Atrazine
0.278,Chai,27-Aug-06,Iron
0.289,Chai,27-Aug-06,Ammonium
0.312,Chai,27-Aug-06,Iron
0.329,Chai,27-Aug-06,Cadmium
0.452,Chai,27-Aug-06,Ammonium
0.492,Chai,27-Aug-06,Ammonium
0.597,Chai,27-Aug-06,Iron
0.684,Chai,27-Aug-06,Nitrates
0.697,Chai,27-Aug-06,Nitrates
0.731,Chai,27-Aug-06,Nitrates
1.1,Chai,27-Aug-06,Chromium
1.17,Chai,27-Aug-06,Petroleum hydrocarbons
1.19,Chai,27-Aug-06,Biochemical Oxygen
1.28,Chai,27-Aug-06,Total nitrogen
1.312,Chai,27-Aug-06,Chromium
1.39,Chai,27-Aug-06,Total nitrogen
1.45,Chai,27-Aug-06,Total nitrogen
2.114,Chai,27-Aug-06,Cadmium
2.19,Chai,27-Aug-06,Silica (SiO2)
2.28,Chai,27-Aug-06,Silica (SiO2)
2.33,Chai,27-Aug-06,Chromium
2.35,Chai,27-Aug-06,Petroleum hydrocarbons
2.38,Chai,27-Aug-06,Silica (SiO2)
2.543,Chai,27-Aug-06,Nickel
2.929,Chai,27-Aug-06,Nickel
3.08,Chai,27-Aug-06,Biochemical Oxygen
3.63,Chai,27-Aug-06,Chemical Oxygen Demand (Mn)
3.79,Chai,27-Aug-06,Chemical Oxygen Demand (Mn)
4,Chai,27-Aug-06,Biochemical Oxygen
4.6,Chai,27-Aug-06,Chemical Oxygen Demand (Mn)
5,Chai,27-Aug-06,Chemical Oxygen Demand (Cr)
5,Chai,27-Aug-06,Chemical Oxygen Demand (Cr)
5,Chai,27-Aug-06,Chemical Oxygen Demand (Cr)
5.528,Chai,27-Aug-06,Copper
5.66,Chai,27-Aug-06,Nickel
6.93,Chai,27-Aug-06,Dissolved oxygen
7.317,Chai,27-Aug-06,Copper
8.79,Chai,27-Aug-06,Dissolved oxygen
8.94,Chai,27-Aug-06,Dissolved oxygen
9.255,Chai,27-Aug-06,Lead
10,Chai,27-Aug-06,Zinc
10.02,Chai,27-Aug-06,Copper
13.75,Chai,27-Aug-06,Lead
18,Chai,27-Aug-06,Zinc
18.54,Chai,27-Aug-06,Lead
24,Chai,27-Aug-06,Water temperature
24,Chai,27-Aug-06,Water temperature
24,Chai,27-Aug-06,Water temperature
34,Chai,27-Aug-06,Zinc
34.8,Chai,27-Aug-06,Chlorides
34.8,Chai,27-Aug-06,Chlorides
